xls,site_name,proxy,doi,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,,modern_latitude,modern_longitude
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55709,,400,652,170,134,,44.8,
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55716,,400,641,165,120,,44.15,
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55739,,400,667,167,128,,44.16,-107.85
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55782,,400,688,126,119,,44.8,
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55787,,400,706,197,149,,44.8,
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55788,,400,772,162,136,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55827,,400,883,273,218,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55844,,400,1079,504,271,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55850,,400,1310,622,365,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55853,,400,1595,640,394,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55872,,400,1883,697,450,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55872,,400,1883,1054,685,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55890,,400,1741,610,408,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55913,,400,2085,1058,599,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55924,,400,2266,1066,631,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55924,,400,2272,1244,727,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55924,,400,2226,1401,793,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55941,,400,694,118,149,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55945,,400,668,149,169,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55949,,400,665,105,134,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55951,,400,640,164,159,,38.4,131.55
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55959,,400,633,97,125,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,6.18,,,253.31,4.46,16.23,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,14.25,,,203.79,11.12,12.84,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,27.86,,,187.96,3.95,12.18,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,36.85,,,196.55,5.16,11.25,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,51.53,,,200.85,8.36,9.94,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,90.03,,,223.53,4.25,12.82,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,90.85,,,244.41,6.15,12.27,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,105.7,,,266.6,12.22,8.58,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,111.1,,,263.49,12.26,9,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,128.22,,,220.15,5.54,12.69,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,146.2,,,201.41,7.36,8.53,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,163.93,,,202.49,8.37,7.92,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,198.46,,,224.44,8.21,9.26,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,212.49,,,243.43,9.05,9.34,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,243.96,,,204.53,9.84,7.95,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,246.94,,,191.24,10.92,9.73,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,252.53,,,238.86,11.52,7.08,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,254.81,,,188.81,9.5,8.38,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,259.28,,,235.25,13.51,8.65,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,266.6,,,188.04,5.67,11.49,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,297.04,,,224.52,6.93,12.87,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,316,,,265.72,15.46,10.07,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,329.52,,,230.18,11.82,8.82,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,360.18,,,196.64,8.73,8.1,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,366.82,,,206.67,7.6,12.82,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,373.6,,,274.59,14.9,9.68,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,379.26,,,217.56,10.46,7.49,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,423.56,,,270.49,20.23,13.4,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,426.1,,,210.27,14.45,10.6,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,529.43,,,239.13,11.85,9.53,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,541.26,,,219.1,9.33,7.77,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,581.2,,,274.76,13.46,9.98,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,588.33,,,227.16,10.56,8.84,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,613.16,,,247.32,8.78,11.96,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,616.96,,,254.89,12.28,9.79,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,635.5,,,203.15,13.75,10.39,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,670.1,,,223.84,11.39,9.79,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,700.1,,,250.3,10.14,8.75,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,710.1,,,233.13,10.68,9.33,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,720.1,,,211.5,12.05,9.74,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,728,,,214.48,10.34,8.96,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,784.87,,,228.31,10.91,8.8,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,800.95,,,232.87,11.83,10.36,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,849.84,,,268.26,13.82,11.52,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,859.88,,,265.55,14.21,11.96,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,863.91,,,273.7,15.8,13.06,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,872.5,,,305.36,23.23,18.33,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,885.77,,,223.08,14.37,12.79,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,903.54,,,181.68,10.98,8.06,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,922.77,,,246.17,16.22,14.52,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,932.51,,,232.48,12.24,11.36,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,941.81,,,255.27,14.34,12.83,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,949.65,,,258.34,9.3,10.71,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,953.2,,,229.25,11.96,10.75,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,961.49,,,295.67,18.38,15.39,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,970.08,,,252.62,10.59,10.38,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,980.92,,,259.77,15.56,14.2,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1012.33,,,209.24,9.05,11.28,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1032.93,,,280.41,17.54,15.16,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1060.14,,,261.47,13.34,11.75,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1079.39,,,255.73,11.62,10.98,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1093.39,,,269.36,14.47,12.82,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1108.19,,,263.05,16.16,14.07,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1113.21,,,255.17,13.87,12.72,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1138.6,,,280.43,28.89,22.99,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1158.43,,,244.18,12.62,11.49,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1172.41,,,256.9,11.06,10.19,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1183.97,,,258.79,13.06,11.7,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1220.05,,,292.76,21.49,17.29,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1236.24,,,260.83,15.47,13.49,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1247.34,,,277.14,17.73,14.83,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1270.01,,,260.6,13.19,11.29,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1282.96,,,239.82,9.01,10.07,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1294.52,,,226.39,9.94,8.32,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1297.3,,,243.17,11.78,10.23,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1301.92,,,249.9,13.8,11.08,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1307.47,,,280.57,15.57,12.47,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1316.26,,,281.01,15.97,12.71,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1326.44,,,242.35,9.8,8.45,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1334.77,,,271.02,14.95,12.31,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1343.6,,,309.18,20.67,15.33,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1352.85,,,311.37,22.69,16.65,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1358.77,,,290.05,17.61,13.41,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1364.19,,,233.47,7.33,10.96,,38.4,131.55
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1371.31,,,277.39,14.49,11.33,,51.12,12.36
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1381.95,,,325.93,21.86,15.31,,51.27,14.59
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1391.33,,,308.66,16.52,12.34,,51.12,12.54
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1401.2,,,310.84,26.68,19.91,,51.48,12.31
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1410.08,,,280.89,17.2,13.08,,51.17,12.5
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1420.54,,,310.85,23.27,16.57,,-45.527,170.219
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1426.13,,,247.42,15.45,11.93,,-45.527,170.219
