proxy,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,modern_latitude,modern_longitude
Stomatal Frequencies,56722,50,50,346,21.4,21.4,44.8,
Stomatal Frequencies,56318,50,50,287,21.4,21.4,44.15,
Stomatal Frequencies,56232,50,50,325,21.4,21.4,44.16,-107.85
Stomatal Frequencies,56050,50,50,630,21.4,21.4,44.8,
Stomatal Frequencies,55690,50,50,337,21.4,21.4,44.8,
Stomatal Frequencies,44500,3300,3300,485,25,25,36.91555,-88.71333
Stomatal Frequencies,47000,3000,3000,768,256,256,,
Stomatal Frequencies,60000,2000,2000,322,47,47,-43.7043,171.4001
Stomatal Frequencies,65500,500,500,418,55,55,-43.1328,171.7686
Stomatal Frequencies,65900,100,100,429,65,65,-43.1328,171.7686
Stomatal Frequencies,53488,100,100,370,20,20,,3
Stomatal Frequencies,1800,,,357.5,17.5,17.5,,
Stomatal Frequencies,2300,,,276,16,16,,
Stomatal Frequencies,2800,,,332,17,17,,
Stomatal Frequencies,3200,,,362.5,17.5,17.5,,
Stomatal Frequencies,4300,,,270,15,15,,
Stomatal Frequencies,5100,,,357.5,17.5,17.5,,
Stomatal Frequencies,6400,,,270,15,15,,
Stomatal Frequencies,8100,,,350,10,10,,
Stomatal Frequencies,10200,,,370,20,20,,
Stomatal Frequencies,61100,3700,3700,313,2,3,42.5,
Stomatal Frequencies,15780,39,39,326,,,47,-116.3
Stomatal Frequencies,35750,1250,1250,638.1,34.8,34.8,,
Stomatal Frequencies,37750,1250,1250,552.6,39.8,39.8,,
Stomatal Frequencies,38000,1000,1000,533.4,35.1,35.1,,
Stomatal Frequencies,38000,1000,1000,542.3,19.2,19.2,,
Stomatal Frequencies,41000,1000,1000,569.3,50.8,50.8,,
Stomatal Frequencies,42000,3000,3000,509.3,49.1,49.1,,
Stomatal Frequencies,52500,500,500,508.9,20.6,20.6,,
Stomatal Frequencies,51750,3250,3250,540.2,20.9,20.9,,
Stomatal Frequencies,53500,2500,2500,546.8,27.6,27.6,,
Stomatal Frequencies,63400,900,900,308,23,23,40.125,141.8375
Stomatal Frequencies,60000,,,370,27,27,77.34944,-82.56444
Stomatal Frequencies,42850,5050,5050,473,121,121,79.9155,-88.97589
Stomatal Frequencies,40500,500,500,706,321,321,43.25,141.83333
Stomatal Frequencies,19000,2000,2000,491,110,110,,
Stomatal Frequencies,22500,1000,1000,485,169,169,-45,167
Stomatal Frequencies,23200,200,200,732,47,47,-45.51667,170.21666
Stomatal Frequencies,50610,160,160,600,2000,0,,
Stomatal Frequencies,50610,160,160,600,2000,0,,
Stomatal Frequencies,50610,160,160,600,2000,0,,
Stomatal Frequencies,51050,,,349,11.6,11.6,,
Stomatal Frequencies,58500,650,650,451,68,30,52.25,
Stomatal Frequencies,58500,650,650,409,38,21,52.25,
Stomatal Frequencies,57239.5,551.5,551.5,353,8,6,44.86,-108.88
Stomatal Frequencies,56354,335,335,363,13,9,45.03,-109.08
Stomatal Frequencies,55943,150,150,312,2,3,44.8,
Stomatal Frequencies,55943,150,150,314,2,2,44.8,
Stomatal Frequencies,55943,150,150,307,1,2,44.8,
Stomatal Frequencies,55807,213,213,317,1,2,44.73,-108.68
Stomatal Frequencies,55664,125,125,309,2,2,44.05,-107.77
Stomatal Frequencies,55595,100,100,306,2,2,43.95,-107.56
Stomatal Frequencies,55348.5,114.5,114.5,299,2,2,44.16,-107.85
Stomatal Frequencies,55338.5,104.5,104.5,390,16,10,44.8,
Stomatal Frequencies,55337.5,103.5,103.5,300,2,3,43.95,
Stomatal Frequencies,55317,83,83,303,1,1,43.95,
Stomatal Frequencies,55316,82,82,298,2,2,44.15,
Stomatal Frequencies,55117,117,117,373,8,5,44.8,
Stomatal Frequencies,54798,100,100,360,9,7,44.35,-108.39
Stomatal Frequencies,53897,100,100,345,7,6,44.17,-108.13
Stomatal Frequencies,53488,100,100,323,3,2,44.3,
Stomatal Frequencies,53433,100,100,342,4,3,44.35,
Stomatal Frequencies,16500,1500,1500,396,17,11,46.52,-116.75
Stomatal Frequencies,15300,1500,1500,310,3,3,46.99,-116.27
Stomatal Frequencies,15300,1500,1500,316,3,3,46.99,-116.27
Stomatal Frequencies,15200,1500,1500,316,2,3,47.03,-116.34
Stomatal Frequencies,42900,5000,5100,471,730,152,79.92,-89.03
Stomatal Frequencies,35750,1250,1250,780.64,102.34,102.34,,
Stomatal Frequencies,37750,1250,1250,551.9,100.45,100.45,,
Stomatal Frequencies,38000,1000,1000,505.49,84.03,84.03,,
Stomatal Frequencies,38000,1000,1000,524.07,46.26,46.26,,
Stomatal Frequencies,41000,1000,1000,596.17,129.88,129.88,,
Stomatal Frequencies,42000,3000,3000,442.92,44.91,44.91,,
Stomatal Frequencies,52500,500,500,430.04,44.86,44.86,,
Stomatal Frequencies,51750,3250,3250,519.09,51.76,51.76,,
Stomatal Frequencies,53500,2500,2500,535.92,68.42,68.42,,
Stomatal Frequencies,8850,2350,2350,360,46,34,,
Stomatal Frequencies,3050,350,350,351,54,36,30.3435,-87.48533
Stomatal Frequencies,13000,3000,3000,334,48,36,24.1,101.21667
Stomatal Frequencies,9500,500,500,351,41,34,36.13333,139.3
Stomatal Frequencies,2900,100,100,280,5,6,34.4,135.46667
Stomatal Frequencies,2650,50,50,279,6,4,35.66667,139.3
Stomatal Frequencies,2600,0,0,285,5,9,34.98333,136.1
Stomatal Frequencies,1850,0,0,280,13,8,37.11667,138.8
Stomatal Frequencies,950,0,0,278,4,5,34.73333,135.7
Stomatal Frequencies,65000,1000,1000,1688.59,,,,
